cluster_id,brandSKUId,label,normalized_name,categoryLabel,categories_parsed,primary_category
cluster_203,7682bfeb-7415-4dab-955b-644dc338a9f4,"Haldiram - Navrattan, 1025 Gram",navrattan,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_204,137fb48d-d5b0-4539-8558-967d422e4e49,"Haldiram - Navrattan Namkeen, Rs.5/-",navrattan namkeen,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_204,1f8fd5c1-18d0-4ffd-8d2e-3ac80ec8182b,"Haldiram - Navrattan Namkeen, Rs.10/-",navrattan namkeen,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_204,d9362775-84e0-488a-a58b-15818d991173,"Haldiram - Navrattan Namkeen, 75 Gram",navrattan namkeen,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_205,35519b4e-163c-4a04-bf77-5f7df997a4c1,"Haldiram - Fruit N Nut Cookies, 400 Gram",fruit n nut cookies,Biscuits,Biscuits,Biscuits
cluster_205,42ceb054-19c7-4064-ab31-d599b5e242ae,"Haldiram - Cookie Heaven Fruit & Nut, 400 Gram",cookie heaven fruit nut,Biscuits,Biscuits,Biscuits
cluster_205,f6f67ffa-f333-49e5-a808-bcc1a5ff96ac,"Haldiram - Cookie Heaven Fruit & Nut, 200 Gram",cookie heaven fruit nut,Biscuits,Biscuits,Biscuits
cluster_206,156521e5-0372-4311-a47a-8887d6ac7fa3,NAVRATTAN 85 GM,navrattan,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_206,9b8e72af-9ddc-4b7c-913f-e030e8defc3b,"Haldiram - Navrattan, 410 Gram",navrattan,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_206,db218c78-44d0-4f71-9b46-512478d43118,"Haldiram - Navrattan, 200 Gram",navrattan,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_207,5680763e-5444-4a57-bbe2-424a7eb6853a,"Haldiram - Navrattan (10% Extra), 1.1 Kg",navrattan extra,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_207,fc4dc321-dd6c-4cfe-a885-f6cb66c0258b,"Haldiram - Navrattan 10% Extra, 440 Gram",navrattan extra,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_208,339da0a5-4dbc-4281-ba0e-852bd0434115,"Haldiram - White Rasbhari, 1 Kg",white rasbhari,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_208,4a7621e3-870b-4280-9ec1-48fa71605035,"Haldiram - White Rasbhari, 500 Gram Tin",white rasbhari,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_208,55a934a8-b7ca-4666-bd3a-de3a498072c5,"Haldiram - White Rasbari, 500 Gram",white rasbari,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_208,c7f701ba-889c-40b2-86d0-503ac75c36f4,"Haldiram - White Rasbhari, 3.7 Kg",white rasbhari,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_209,1ecea194-5674-4d57-8108-9faf17144e97,"Haldiram - Rasgulla Kesar, 16 Kg",rasgulla kesar,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_209,eff9a708-3e02-4ba1-8af4-c0c3ed86f429,"Haldiram - Kesar Rasbhari, 3.7 Kg",kesar rasbhari,Sweets/Snacks,"Sweets, Snacks",Sweets
